ENSMUSG00000083700
ENSMUSG00000080990
ENSMUSG00000065619
ENSMUSG00000047945
ENSMUSG00000081010
ENSMUSG00000030970
ENSMUSG00000084336
ENSMUSG00000087857
ENSMUSG00000018166
ENSMUSG00000055320
ENSMUSG00000088086
ENSMUSG00000058006
ENSMUSG00000057818
ENSMUSG00000081066
ENSMUSG00000090635
